pairs: 282
CRSEL = 0x000700a3
EXSEL = 0x000700a4
KP_LEFT_PARENTHESIS = 0x000700b6
KP_RIGHT_PARENTHESIS = 0x000700b7
KPSPC = 0x000700cd
KP_CLEAR = 0x000700d8
LCTRL = 0x000700e0
LSHIFT = 0x000700e1
LALT = 0x000700e2
LGUI = 0x000700e3
RCTRL = 0x000700e4
RSHIFT = 0x000700e5
RALT = 0x000700e6
RGUI = 0x000700e7
K_PLAY_PAUSE = 0x000700e8
K_STOP2 = 0x000700e9
K_PREV = 0x000700ea
K_NEXT = 0x000700eb
K_EJECT = 0x000700ec
K_VOLUME_UP2 = 0x000700ed
K_VOLUME_DN2 = 0x000700ee
K_MUTE2 = 0x000700ef
K_WWW = 0x000700f0
K_BACK = 0x000700f1
K_FORWARD = 0x000700f2
K_STOP3 = 0x000700f3
K_FIND2 = 0x000700f4
K_SCROLL_UP = 0x000700f5
K_SCROLL_DN = 0x000700f6
K_EDIT = 0x000700f7
K_SLEEP = 0x000700f8
K_LOCK = 0x000700f9
K_SCREENSAVER = 0x000700f9
K_COFFEE = 0x000700f9
K_REFRESH = 0x000700fa
K_CALCULATOR = 0x000700fb
C_POWER = 0x000c0030
C_RESET = 0x000c0031
C_SLEEP = 0x000c0032
C_SLEEP_MODE = 0x000c0034
C_MENU = 0x000c0040
C_MENU_PICK = 0x000c0041
C_MENU_UP = 0x000c0042
C_MENU_DOWN = 0x000c0043
C_MENU_LEFT = 0x000c0044
C_MENU_RIGHT = 0x000c0045
C_MENU_ESCAPE = 0x000c0046
C_MENU_INCREASE = 0x000c0047
C_MENU_DECREASE = 0x000c0048
C_DATA_ON_SCREEN = 0x000c0060
C_SUBTITLES = 0x000c0061
C_BRIGHTNESS_INC = 0x000c006f
C_BRIGHTNESS_DEC = 0x000c0070
C_MUTE = 0x000c00e2
C_VOL_UP = 0x000c00e9
C_VOL_DOWN = 0x000c00ea
C_PLAY_PAUSE = 0x000c00cd
C_PREVIOUS = 0x000c00b6
C_NEXT = 0x000c00b5
C_STOP = 0x000c00b7
C_EJECT = 0x000c00b8
C_REWIND = 0x000c00b4
C_FAST_FORWARD = 0x000c00b3
